Name,URL
ABC News,abcnews.go.com
AP News,apnews.com
Alternet,alternet.org
Axios,axios.com
BBC,bbc.com
Bloomberg,bloomberg.com
Breitbart,breitbart.com
Business Insider,businessinsider.com
Daily Kos,dailykos.com
BuzzFeed,buzzfeed.com
CBS News,cbsnews.com
CNBC,cnbc.com
CNN,cnn.com
Center for Investigative Reporting,revealnews.org
Chron,chron.com
Common Dreams,commondreams.org
Conservative Review,conservativereview.com
Daily Beast,thedailybeast.com
Daily Mail,dailymail.co.uk
Daily Wire,dailywire.com
Democracy Now!,democracynow.org
Drudge Report,drudgereport.com
FiveThirtyEight,fivethirtyeight.com
Forbes,forbes.com
Fortune,fortune.com
Fox News,foxnews.com
HuffPost,huffingtonpost.com
Infowars,infowars.com
International Business Times,ibtimes.com
LA Times,latimes.com
MSNBC,msnbc.com
Media Matters for America,mediamatters.org
Mediaite,mediaite.com
Mother Jones,motherjones.com
NBC News,nbcnews.com
NPR,npr.org
NY Daily News,nydailynews.com
National Review,nationalreview.com
New York Post,nypost.com
New York Times,nytimes.com
Newsweek,newsweek.com
PolitiFact,politifact.com
Politico,politico.com
ProPublica,propublica.org
RawStory,rawstory.com
RealClearPolitics,realclearpolitics.com
Reason,reason.com
Reuters,reuters.com
SFGate,sfgate.com
Salon,salon.com
Shareblue Media,shareblue.com
Slate,slate.com
TYT Network,tytnetwork.com
Talking Points Memo,talkingpointsmemo.com
The American Conservative,theamericanconservative.com
The Atlantic,theatlantic.com
The Boston Globe,bostonglobe.com
The Daily Caller,dailycaller.com
The Daily Stormer,dailystormer.name
The Guardian,theguardian.com
The Hill,thehill.com
The Independent,independent.co.uk
The Intercept,theintercept.com
The Nation,thenation.com
The New Yorker,newyorker.com
The Verge,theverge.com
ThinkProgress,thinkprogress.org
Time Magazine,time.com
Truthdig,truthdig.com
Truthout,truth-out.org
U.S. News & World Report,usnews.com
USA Today,usatoday.com
Vice,vice.com
Vox,vox.com
Wall Street Journal,wsj.com
Washington Examiner,washingtonexaminer.com
Washington Post,washingtonpost.com
Washington Times,washingtontimes.com
New York,nymag.com
